C1,C2,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150
774,Madhuban,10/19/2020,15:10:00,Saguna  more,18,2,45,1,3,2,3,3,2,2,Robbery,1,2,2,2,1,0,0,1,0,1,0,1,88,1,1,3,1,4,1,1,4,88,4,1,1,3,4,88,1,1,3,2,3,3,4,2,1,4,3,3,2,1,4,3,3,3,2,4,1,1,1,1,1,1,3,1,1,3,1,1,3,2,1,3,2,2,2,2,1,3,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,3,1,3,2,2,3,1,2,3,1,3,1,1,2,3,3,4,3,4,3,3,4,3,2,5,3,2,4,1,4,2,2,5,3,2,4,1,1,1,1,1,1975,24000,1
775,Nawada,10/19/2020,9:40:00,Patna Railway Station,237,1,36,1,3,1,5,2,1,2,Robbery,2,2,1,2,1,1,0,0,0,1,0,1,4,1,1,2,1,4,1,1,2,2,4,1,1,1,2,4,1,1,2,2,4,2,2,1,2,4,3,1,2,1,4,2,2,1,2,4,1,1,1,1,5,88,1,4,4,5,1,4,88,88,1,4,1,1,2,4,3,88,2,5,5,5,4,2,1,88,5,4,1,2,1,4,2,88,1,2,5,1,2,88,1,5,88,3,1,1,5,1,2,2,1,88,4,88,88,4,4,4,1,88,3,2,88,3,88,2,88,88,5,4,2,2,1,1,1,2,1984,15000,2
776,Digha,10/19/2020,15:31:00,Saguna  more,181,2,25,1,3,2,2,1,1,2,Inflation,2,1,2,2,1,0,0,1,1,1,0,1,4,1,1,4,2,88,1,1,3,3,4,1,1,3,3,4,1,1,3,4,4,3,4,4,3,4,3,3,3,3,4,3,4,3,3,4,1,1,1,1,1,2,3,1,1,3,1,2,2,1,2,1,2,2,2,1,2,1,3,2,3,2,1,88,3,2,1,1,88,2,2,1,3,1,2,3,1,3,1,2,2,88,2,1,2,5,1,3,2,2,3,4,4,4,2,4,4,3,4,4,2,2,4,88,4,2,1,88,3,4,1,1,1,1,88,,1995,20000,1
777,Digha,10/19/2020,15:53:00,Saguna  more,181,2,55,1,3,2,1,2,1,2,Un employment,1,2,1,2,1,1,0,0,0,1,0,1,4,1,1,4,4,4,1,1,3,3,88,1,1,4,4,88,1,1,3,4,88,3,4,3,4,88,3,4,88,4,88,3,4,3,3,88,1,1,1,1,2,1,1,1,2,1,1,3,2,1,1,2,2,2,1,1,1,2,4,2,3,88,1,2,2,1,1,1,1,3,3,1,3,1,2,2,1,3,88,3,2,1,2,1,2,2,1,2,2,2,88,3,4,3,3,3,2,2,3,5,2,2,5,1,2,2,2,88,4,1,1,1,1,1,1,1,1965,20000,1
778,Atri Bidhan Sabha ,10/19/2020,10:05:00,Patna Railway Station,233,2,21,1,3,1,5,5,2,2,Un employment,1,2,1,2,1,0,0,0,0,1,1,1,4,1,1,2,2,4,1,1,2,2,4,1,1,2,1,4,1,1,3,1,4,3,2,2,1,4,3,2,1,3,4,2,4,2,2,4,1,1,1,1,5,1,3,1,88,4,1,1,2,1,2,5,5,2,5,88,5,1,2,3,3,5,2,4,5,2,5,3,5,2,4,5,2,5,3,5,5,2,5,2,5,5,1,5,2,1,5,2,5,2,5,1,4,3,4,3,4,4,3,88,88,2,88,3,4,88,5,5,2,1,2,2,1,1,1,1,1999,16000,2
779,Nawada,10/19/2020,10:21:00,Patna Railway Station,237,2,42,1,3,1,5,5,1,1,Economy,2,1,1,2,1,0,0,1,0,1,0,1,1,1,1,4,4,4,1,1,2,4,4,1,1,2,4,4,1,1,2,2,4,2,4,2,3,4,2,4,2,3,4,2,3,1,3,4,1,1,1,1,5,88,1,2,2,3,1,2,4,2,3,2,5,5,5,5,2,3,88,2,3,5,2,3,2,3,5,88,3,2,1,5,2,4,1,3,5,1,4,2,3,5,1,4,1,4,5,1,3,5,3,4,3,3,4,3,88,3,4,88,2,2,5,4,5,2,4,88,2,5,1,2,1,1,2,1,1978,6000,2
780,Nawada,10/19/2020,10:36:00,Patna Railway Station,237,2,38,1,3,1,5,5,1,1,Un employment,2,1,1,2,1,0,0,1,0,1,0,1,4,3,88,3,3,4,1,1,2,4,4,1,1,1,3,4,1,1,2,3,4,2,3,2,4,4,2,3,1,3,4,2,2,4,2,4,1,1,1,1,5,1,88,2,1,2,1,1,3,1,2,1,5,2,5,5,1,2,3,5,3,99,1,1,3,5,5,1,5,2,1,5,2,5,2,4,4,88,3,1,3,5,1,5,2,4,5,88,3,88,1,88,88,3,88,4,4,2,4,88,3,2,88,2,4,2,2,5,2,1,1,1,1,1,2,1,1982,18000,2
781,Bakhtiarpur,10/19/2020,9:55:00,Khushrupur,180,2,34,1,3,2,5,1,1,1,Crime,2,1,2,2,1,0,1,0,1,1,0,1,3,1,88,4,4,2,1,1,4,2,2,1,1,2,2,3,1,1,88,88,2,4,3,4,88,1,4,2,88,3,1,4,1,4,2,1,1,1,1,1,88,3,88,4,2,4,88,88,4,3,4,1,88,4,4,2,4,1,4,1,1,5,2,4,1,3,3,88,4,2,5,4,1,1,3,3,2,3,2,1,3,4,2,4,2,1,5,2,5,1,2,4,2,2,1,4,2,2,2,5,1,1,1,1,1,2,1,5,2,2,1,2,1,1,1,,1986,15000,1
782,Khajauli,10/19/2020,10:52:00,Patna Railway Station,33,1,52,1,3,1,5,5,1,1,Un employment,1,1,1,2,1,0,0,1,0,1,0,1,4,1,1,2,2,4,1,1,2,3,4,1,1,3,2,4,1,88,3,3,4,3,3,2,3,4,3,3,4,2,4,2,4,2,4,4,1,1,1,1,5,1,2,4,1,1,1,1,1,1,2,1,1,1,5,5,5,88,88,2,2,5,1,2,3,1,5,1,3,3,1,5,1,3,1,4,5,1,4,1,1,5,1,4,1,1,5,1,4,1,2,4,88,3,88,4,88,4,4,88,2,1,5,3,4,2,2,99,1,5,1,1,1,1,2,1,1968,20000,2
783,Mokama,10/19/2020,11:09:00,Patna Railway Station,178,2,50,1,3,1,5,5,1,1,Corruption,2,1,1,2,1,0,0,1,1,1,0,1,88,3,1,4,3,88,1,1,2,4,4,1,1,3,2,4,1,88,3,2,4,2,1,3,1,4,4,3,1,1,4,2,4,2,3,4,1,1,1,1,99,99,88,88,99,88,99,3,3,2,4,1,1,1,88,4,1,88,1,5,3,99,88,1,88,2,99,2,99,3,88,99,88,99,2,88,99,88,88,99,1,99,1,88,88,2,99,99,99,99,1,99,99,99,99,4,3,3,3,88,99,2,88,88,88,2,4,99,4,99,2,1,1,1,2,1,1970,25000,3
