N,Constituency,Date,Time,InterviewLocation,FutureContact,Age,Sex,PhoneWorks,StateStatus,StateHeaded,CentralGovtPerformance,StateGovtPerformance,VotedLokSabha2019,VotedAssembly2015,ImportantProblem,GovtResponsibleProblem,PartySolveProblem,CampaignInterest,UsedPhone,UsedPhoneSMS,UsedPhoneEmail,UsedPhoneSocialMedia,UsedPhoneVideo,UsedPhoneNewsSites,UsedPhoneInformation,UsedPhoneEducation,UsedPhoneWhatssapp,SocialMediaContactNDA,SocialMediaContactUPA,SocialMediaContactLJP,SocialMediaContactOthers,SocialMediaContactInd,PhoneContactNDA,PhoneContactUPA,PhoneContactLJP,PhoneContactOthers,PhoneContactInd,SMSContactNDA,SMSContactUPA,SMSContactLJP,SMSContactOthers,SMSContactIndependent,WhatsappContactNDA,WhatsappContactUPA,WhatsappContactLJP,WhatsappContactOthers,WhatsappContactIndependent,F2FHomeContactNDA,F2FHomeContactUPA,F2FHomeContactLJP,F2FHomeContactOthers,F2FHomeContactIndependent,F2FStreetContactNDA,F2FStreetContactUPA,F2FStreetContactLJP,F2FStreetContactOthers,F2FStreetContactIndependent,RoadshowContactBJP,RoadshowContactUPA,RoadshowContactLJP,RoadshowContactOthers,RoadshowContactInd,EmailContactNDA,EmailContactUPA,EmailContactLJP,EmailContactOthers,EmailContactInd,NewsConsumptionNewspapers,NewsConsumptionTV,NewsConsumptionRadio,NewsConsumptionSMS,NewsConsumptionSocialMedia,NewsConsumptionWhatsapp,NewsConsumptionCampaignEmails,NewsConsumptionPamphlets,NewsConsumptionPosters,NewsConsumptionF2F,NewsConsumptionInternet,NewsConsumptionYoutube,NewsConsumptionPhonecall,NewsConsumptionFamily,NewsSharingSocialMedia,NewsSharingSMS,NewsSharingWhatsapp,NewsSharingEmail,NewsSharingF2F,AttentiontoNews,BJPNegativeCampaign,RecirculatedNDA,RecirculatedUPA,RecirculatedLJP,RecirculatedOthers,RecirculatedInd,CreatedNDA,CreatedUPA,CreatedLJP,CreatedOthers,CreatedInd,CommentedNDA,CommentedUPA,CommentedLJP,CommentedOthers,CommentedInd,PostedNDA,PostedUPA,PostedLJP,PostedOthers,PostedInd,RalliesNDA,RalliesUPA,RalliesLJP,RalliesOthers,RalliesInd,MeetingsNDA,MeetingsUPA,MeetingsLJP,MeetingsOthers,MeetingsInd,BJPPolicyRamTemple,BJPPolicyCAA,BJPPolicyReservation,BJPPolicyGauRaksha,BJPPolicyChineseApps,BJPPolicyJEENEEET,BJPPolicyLockdown,BJPPolicyCovid,PerformanceLeaderModi,PerformanceLeaderGandhi,PerformanceLeaderYadav,PerformanceLeaderKumar,PerformanceLeaderMajhi,PerformanceLeaderSushilModi,PerformanceLeaderPaswan,PerformanceLeaderKushwaha,PerformancePartyNDA,PerformancePartyUPA,PerformancePartyLJP,PerformancePartyOther,PerformmancePartyInd,Religion,Caste,OrganisationMember,OrganisationName,BirthYear,HouseholdIncome,WhatsappGroups,Flooding
471,Masaurhi,10/22/2020,15:47:00,Gayghat,189,2,44,2,2,2,3,3,2,3,Female safety,2,3,3,2,0,0,1,1,1,1,0,1,4,2,2,4,2,4,88,2,4,2,4,4,2,3,3,88,4,2,3,2,4,4,4,2,88,3,4,4,2,4,2,4,3,3,3,2,1,1,1,1,2,4,1,2,2,1,1,1,2,1,3,88,3,2,2,2,2,3,88,3,2,2,3,2,2,88,1,2,3,1,1,88,1,3,3,2,88,1,3,2,1,88,88,3,3,1,88,1,3,3,1,4,3,4,3,4,4,4,4,5,1,2,3,4,4,5,3,5,4,4,4,2,1,1,99,NA,1976,13000,3,0
472,Sasaram,10/22/2020,16:11:00,Boring Road,208,2,40,2,2,1,4,2,1,3,Corruption,2,3,2,2,1,0,1,1,0,0,0,1,3,2,3,4,2,3,2,3,4,2,4,2,4,3,3,4,3,4,3,2,2,3,4,2,4,4,2,4,4,2,4,3,2,4,2,4,1,1,1,1,2,3,2,3,4,1,1,3,4,5,2,3,4,3,2,3,3,2,3,4,3,3,4,2,4,3,2,3,2,4,4,2,4,2,3,2,2,3,4,2,2,1,3,3,2,2,2,3,3,2,3,3,2,4,3,4,2,4,2,4,3,2,2,1,2,2,3,4,2,3,4,2,1,1,1,1,1980,35000,2,0
473,Barh,10/22/2020,13:24:00,Patna Railway Station,179,2,45,1,2,1,5,5,1,3,Female safety,1,1,1,2,0,0,0,1,1,1,1,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,4,4,4,4,4,4,1,1,2,2,1,1,1,1,1,5,5,5,1,5,1,1,4,4,4,4,1,5,5,4,1,1,1,5,3,3,5,1,1,1,1,3,1,88,99,99,5,4,4,4,4,5,4,3,2,3,5,88,88,88,88,4,88,88,99,99,4,4,4,3,3,3,3,3,4,1,1,4,2,4,4,2,5,2,1,1,1,1,1,1,1,1975,15000,4,0
474,Patna Sahib,10/22/2020,14:58:00,Phulwari sarif,184,2,20,1,1,1,4,5,1,2,Rape,1,4,2,2,1,0,0,0,0,0,0,1,2,2,2,2,1,88,4,3,2,1,2,3,4,88,88,3,3,3,2,2,3,3,2,2,1,1,1,1,1,1,88,88,88,88,88,4,1,1,1,1,3,2,3,1,3,3,2,3,3,88,2,1,3,3,1,3,3,3,5,2,2,2,2,3,1,1,2,2,4,3,5,2,2,4,3,4,2,3,3,5,3,1,1,3,3,5,3,1,3,2,5,99,99,1,99,3,88,3,4,2,2,2,4,1,1,1,1,3,3,2,2,1,1,4,1,2,2000,18000,2,0
475,Pipra,10/22/2020,12:25:00,Bakar Ganj,42,2,26,1,1,2,5,88,1,88,Rape,2,1,3,2,0,1,0,0,0,0,0,1,1,4,4,3,4,1,3,3,3,2,1,3,4,88,4,1,3,4,3,3,1,3,2,2,2,1,4,4,4,4,1,3,4,4,1,1,99,1,1,88,1,1,1,1,1,1,2,4,2,2,3,2,5,4,88,88,1,2,2,3,3,99,3,4,88,1,5,2,2,2,2,2,2,3,4,4,2,3,2,1,1,1,2,3,3,3,88,88,2,3,3,4,4,3,3,3,4,88,2,1,3,2,4,4,2,2,1,2,5,5,4,2,1,4,1,1,1994,12000,2,1
476,Sikta,10/22/2020,11:08:00,Patna sahib,9,2,37,1,1,88,3,3,3,2,Rape,88,4,88,2,0,0,1,1,1,0,0,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,4,3,3,3,2,3,3,2,2,2,4,3,3,2,2,4,1,1,1,1,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,2,2,3,1,2,2,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,3,3,3,2,1,4,88,NA,1983,16000,4,1
477,Raxaul,10/22/2020,16:07:00,Gayghat,10,2,29,1,2,2,3,2,2,2,sexual harassment,2,2,2,2,0,0,1,1,1,0,0,1,4,4,3,88,3,4,88,4,4,4,4,4,88,2,3,88,3,4,3,2,4,2,4,2,2,3,4,3,2,2,3,88,88,3,88,3,1,1,1,1,2,88,1,1,1,1,1,2,2,88,2,88,2,1,1,2,1,2,1,3,3,1,2,2,1,1,1,4,1,2,1,88,1,2,88,3,88,2,1,1,2,88,4,1,2,3,88,1,3,2,1,88,3,4,88,3,4,4,2,5,2,88,3,88,99,5,3,88,4,5,4,88,1,1,1,2,1991,10000,4,1
478,Patna Sahib,10/22/2020,19:41:00,Patna sahib,184,2,28,1,3,1,3,3,5,2,Rape,1,2,2,2,1,1,1,1,0,0,0,1,3,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,4,1,1,1,1,2,2,3,3,3,2,1,3,2,3,3,2,3,3,2,3,3,3,2,1,2,2,3,2,3,3,1,3,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2,4,3,4,2,3,3,4,2,4,3,2,3,4,4,4,3,4,3,4,3,2,1,4,1,2,1992,20000,3,0
479,Masaurhi,10/22/2020,15:16:00,Phulwari sarif,189,2,56,2,88,88,88,88,1,3,Health and Hospital,2,4,88,2,1,0,0,0,0,0,0,1,4,3,4,2,4,4,4,2,3,1,88,3,88,2,4,4,3,4,2,4,4,4,2,2,1,3,3,3,3,4,88,4,3,2,1,3,1,1,1,88,2,99,99,99,5,5,1,1,2,2,3,2,3,2,3,3,4,1,5,1,88,88,88,88,88,99,2,2,3,4,3,99,88,88,88,99,99,5,5,3,99,3,3,3,2,4,99,1,1,2,5,4,88,4,99,4,99,3,4,4,2,2,5,5,88,5,99,3,3,2,2,2,1,4,1,2,1964,15000,1,0
480,Narkatiya,10/22/2020,16:27:00,Gayghat,12,2,48,1,3,2,1,3,1,2,Female safety,88,2,4,2,0,1,1,1,0,0,0,1,88,3,88,3,88,4,3,3,4,88,4,3,4,3,4,3,4,4,3,4,3,4,88,3,3,99,4,3,3,4,4,4,3,3,3,4,1,1,1,99,1,3,88,2,2,88,1,2,88,2,2,2,1,1,88,1,1,2,88,2,3,2,1,2,3,88,88,1,3,1,1,1,1,1,3,2,88,1,3,2,1,88,2,1,1,3,1,1,1,3,1,4,4,4,88,3,3,88,4,5,1,2,3,3,88,4,88,5,4,5,3,2,1,3,99,NA,1972,4500,4,1
